Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
Cameron Homes,,69,0.942
Campion Homes,,27,0.963
Castle Green Homes,,127,0.976
Cavanna Homes,,38,0.868
Churchill Retirement Living,,225,0.952
Crest Nicholson,,514,0.963
Croudace Homes,,106,0.933
Cruden Homes,,39,0.868
Dandara Homes,,383,0.982
Davidsons Developments,,309,0.951
Denbury Homes,,40,0.95
Durkan,,42,0.927
Hayfield Homes,,46,0.913
Hill,,199,0.934
Hopkins Homes,,210,0.967
Jones Homes,,162,0.943
Keepmoat,,999,0.941
Kingswood Homes,,41,0.976
Lagan Homes,,123,0.926
Lioncourt Homes,,69,0.971
Lovell,,336,0.925
M F Freeman,,25,1
McCarthy & Stone,,315,0.924
Miller Homes,,1617,0.953
Morris Homes,,240,0.971
Norfolk Homes,,34,1
Orbit Homes,,61,0.984
Persimmon Homes,,5270,0.949
Redrow Homes,,1827,0.956
Robertson,,47,0.962
Rose Builders,,28,1
Spitfire Homes,,46,0.944
St Modwen,,165,0.968
Stonebond Properties,,30,1
Story Homes,,545,0.952
Strata Homes,,170,0.947
Taylor Wimpey,,3915,0.956
Thakeham Homes,,56,0.926
Tilia Homes,,280,0.943
Vistry Homes,,2249,0.936
Wainhomes,,420,0.911
William Davis,,70,0.957

Sheet: Q2 2025
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,8,1
Allison Homes Ltd,,133,0.91
Avant Homes,,867,0.903
Barratt Developments,,5789,0.957
Beal Developments,,92,0.957
Bellway Homes,,4237,0.96
Bloor Homes,,1827,0.979
CALA Homes,,1089,0.961
Cameron Homes,,67,0.97
Campion Homes,,24,0.958
Castle Green Homes,,136,0.971
Cavanna Homes,,34,0.882
Churchill Retirement Living,,212,0.953
Crest Nicholson,,535,0.955
Croudace Homes,,116,0.896
Cruden Homes,,42,0.829
Dandara Homes,,367,0.973
Davidsons Developments,,329,0.935
Denbury Homes,,42,0.976
Durkan,,51,0.961
Hill,,243,0.947
Hopkins Homes,,221,0.95
Jones Homes,,172,0.946
Keepmoat,,1058,0.941
Kingswood Homes,,46,0.978
Lagan Homes,,137,0.926
Lioncourt Homes,,75,0.973
Lovell,,332,0.924
M F Freeman,,28,1
McCarthy & Stone,,289,0.925
Miller Homes,,1632,0.958
Morris Homes,,262,0.966
Norfolk Homes,,38,1
Orbit Homes,,51,1
Persimmon Homes,,5316,0.947
Redrow Homes,,1943,0.958
Robertson Homes,,169,0.952
Rose Builders,,38,1
Spitfire Bespoke Homes,,106,0.971
St Modwen,,459,0.945
Stonebond Properties,,33,0.97
Story Homes,,497,0.954
Strata Homes,,176,0.96
Taylor Wimpey,,4066,0.951
Thakeham Homes,,56,0.962
Tilia Homes,,532,0.941
Vistry Homes,,2324,0.932
Wainhomes,,419,0.918
William Davis,,84,0.916

Sheet: Q3 2025
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,,
Allison Homes Ltd,,144,0.903
Avant Homes,,847,0.893
Barratt Developments,,5572,0.952
Beal Developments,,87,0.954
Bellway Homes,,4169,0.963
Bloor Homes,,1747,0.98
CALA Homes,,1029,0.962
Cameron Homes,,56,0.964
Campion Homes,,25,1
Castle Green Homes,,135,0.985
Cavanna Homes,,29,0.897
Churchill Retirement Living,,189,0.929
Crest Nicholson,,466,0.943
Croudace Homes,,132,0.893
Cruden Homes,,44,0.837
Dandara Homes,,434,0.954
Davidsons Developments,,360,0.941
Denbury Homes,,45,0.977
Durkan,,52,0.962
Hill,,232,0.961
Hopkins Homes,,211,0.962
Jones Homes,,149,0.946
Keepmoat,,1013,0.941
Kingswood Homes,,48,0.979
Lagan Homes,,137,0.919
Lioncourt Homes,,84,0.976
Lovell,,323,0.916
M F Freeman,,23,1
McCarthy & Stone,,230,0.905
Miller Homes,,2086,0.95
Morris Homes,,260,0.954
Norfolk Homes,,38,1
Orbit Homes,,45,1
Persimmon Homes,,5042,0.938
Redrow Homes,,1877,0.954
Robertson Homes,,163,0.957
Rose Builders,,39,1
Spitfire Bespoke Homes,,110,0.963
Stonebond Properties,,30,0.967
Story Homes,,455,0.947
Strata Homes,,165,0.944
Taylor Wimpey,,4035,0.948
Thakeham Homes,,53,0.98
Tilia Homes,,314,0.904
Vistry Homes,,2271,0.915
Wainhomes,,388,0.917
William Davis,,94,0.892
