Sheet: Q1 2021
Home Builder,,Sample Surveyed,Percentage
Mactaggart & Mickel Homes,,63,0.9344
Malcolm Allan Housebuilders,,18,1
McCarthy & Stone,,413,0.9184
Miller Homes,,1960,0.9174
Morris Homes,,476,0.9224
Norfolk Homes Ltd,,67,0.9242
Orbit Homes,,57,0.7895
Persimmon Homes,,7729,0.9203
Redrow Homes,,2811,0.9445
Riverdale Developments,,42,1
Rose Builders,,33,0.9703
St Modwen,,490,0.9426
Stewart Milne,,384,0.8579
Stonebond Properties,,29,0.8276
Story Homes,,507,0.9485
Strata Homes,,247,0.9065
Taylor Wimpey,,6612,0.915
Thakeham Group,,82,0.9016
Tilia Homes,,573,0.8078
Vistry Homes,,3740,0.9221
William Davis,,131,0.9766

Sheet: Q1 2022
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,37,1
Avant Homes,,1017,0.89
Barratt Developments,,7981,0.94
Beal Developments,,97,0.92
Bellway Homes,,4793,0.93
Bloor Homes,,1971,0.95
Burrington Estates,,46,0.87
CALA Homes,,1331,0.95
Cameron Homes,,135,0.93
Campion Homes,,16,0.94
Castle Green Homes,,155,0.95
Cavanna Homes,,87,0.82
Churchill Retirement Living,,258,0.94
Countryside Partnerships,,1238,0.91
Crest Nicholson,,940,0.89
Croudace Homes,,162,0.94
Cruden Homes,,76,0.84
Dandara Homes,,363,0.92
Davidsons Developments,,436,0.93
Duchy Homes,,99,0.94
Eccleston Homes,,37,0.7
Galliers Homes,,40,0.9
Gentoo,,122,0.93
Greensquare Homes,,18,0.89
Hayfield Homes,,93,0.88
Hill,,237,0.91
Hopkins Homes,,309,0.87
Jones Homes,,263,0.87
Kebbell Development,,34,0.91
Keepmoat,,1423,0.91
Kingswood Homes,,57,0.95
Lagan Homes,,102,0.85
Lioncourt Homes,,90,0.93
Lovell,,612,0.91
M F Freeman,,,
Mactaggart & Mickel Homes,,43,0.95
Malcolm Allan Housebuilders,,21,1
McCarthy & Stone,,453,0.92
Meadowview Homes,,,
Miller Homes,,1997,0.9
Morris Homes,,447,0.93
Norfolk Homes Ltd,,46,0.89
Orbit Homes,,58,0.81
Persimmon Homes,,7125,0.92
Redrow Homes,,2515,0.94
Riverdale Developments,,41,1
Rose Builders,,33,0.97
St Modwen,,473,0.92
Stewart Milne,,344,0.88
Stonebond Properties,,33,0.91
Story Homes,,494,0.94
Strata Homes,,212,0.9
Taylor Wimpey,,6166,0.92
Thakeham Group,,67,0.94
Tilia Homes,,503,0.81
Vistry Homes,,3881,0.92
William Davis,,110,0.97

Sheet: Q2 2022
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,38,1
Avant Homes,,1030,0.892
Barratt Developments,,7521,0.939
Beal Developments,,104,0.912
Bellway Homes,,4509,0.931
Bloor Homes,,1923,0.956
Burrington Estates,,44,0.86
CALA Homes,,1340,0.954
Cameron Homes,,119,0.949
Campion Homes,,17,0.941
Castle Green Homes,,139,0.949
Cavanna Homes,,81,0.81
Churchill Retirement Living,,263,0.94
Countryside Partnerships,,1177,0.913
Crest Nicholson,,923,0.904
Croudace Homes,,144,0.951
Cruden Homes,,76,0.816
Dandara Homes,,388,0.924
Davidsons Developments,,444,0.927
Duchy Homes,,100,0.909
Eccleston Homes,,35,0.714
Galliers Homes,,42,0.929
Gentoo,,125,0.878
Greensquare Homes,,23,0.783
Hayfield Homes,,78,0.868
Hill,,223,0.914
Hopkins Homes,,300,0.852
Jones Homes,,245,0.905
Kebbell Development,,27,0.846
Keepmoat,,1422,0.906
Kingswood Homes,,64,0.953
Lagan Homes,,97,0.895
Lioncourt Homes,,87,0.943
Lovell,,525,0.905
M F Freeman,,,
Mactaggart & Mickel Homes,,45,0.955
Malcolm Allan Housebuilders,,22,1
McCarthy & Stone,,468,0.905
Miller Homes,,1996,0.912
Morris Homes,,448,0.908
Norfolk Homes Ltd,,35,0.943
Orbit Homes,,70,0.843
Persimmon Homes,,6554,0.924
Redrow Homes,,2346,0.933
Riverdale Developments,,44,1
Rose Builders,,34,0.971
St Modwen,,481,0.912
Stewart Milne,,341,0.897
Stonebond Properties,,34,0.912
Story Homes,,463,0.942
Strata Homes,,200,0.879
Taylor Wimpey,,5493,0.913
Thakeham Group,,45,0.889
Tilia Homes,,490,0.816
Vistry Homes,,3837,0.924
William Davis,,98,0.979

Sheet: Q3 2022
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,31,0.9
Avant Homes,,1025,0.85
Barratt Developments,,8460,0.933
Beal Developments,,116,0.896
Bellway Homes,,4851,0.933
Bloor Homes,,2017,0.952
Burrington Estates,,33,0.879
CALA Homes,,1417,0.952
Cameron Homes,,101,0.94
Campion Homes,,17,1
Castle Green Homes,,119,0.941
Cavanna Homes,,82,0.802
Churchill Retirement Living,,328,0.959
Countryside Partnerships,,1205,0.912
Crest Nicholson,,1030,0.89
Croudace Homes,,148,0.946
Cruden Homes,,80,0.823
Dandara Homes,,409,0.898
Davidsons Developments,,429,0.939
Eccleston Homes,,29,0.724
Galliers Homes,,34,0.941
Gentoo,,140,0.862
Greensquare Homes,,19,0.789
Hayfield Homes,,82,0.925
Hill,,222,0.923
Hopkins Homes,,301,0.879
Jones Homes,,218,0.908
Kebbell Development,,30,0.867
Keepmoat,,1569,0.899
Kingswood Homes,,62,0.968
Lagan Homes,,89,0.92
Lioncourt Homes,,73,0.945
Lovell,,453,0.882
M F Freeman,,,
Malcolm Allan Housebuilders,,18,1
McCarthy & Stone,,489,0.914
Miller Homes,,2032,0.915
Morris Homes,,479,0.923
Norfolk Homes,,27,1
Orbit Homes,,70,0.814
Persimmon Homes,,6674,0.913
Redrow Homes,,2483,0.916
Riverdale Developments,,42,1
Rose Builders,,31,1
St Modwen,,509,0.901
Stewart Milne,,347,0.91
Stonebond Properties,,33,0.939
Story Homes,,497,0.949
Strata Homes,,212,0.854
Taylor Wimpey,,5233,0.91
Thakeham Group,,50,0.88
Tilia Homes,,441,0.804
Vistry Homes,,4066,0.926
William Davis,,104,0.951

Sheet: Q4 2022
Home Builder,,Sample Surveyed,Percentage
A & J Stephen,,27,0.852
Avant Homes,,978,0.805
Barratt Developments,,8467,0.928
Beal Developments,,121,0.926
Bellway Homes,,5057,0.923
Bloor Homes,,1901,0.953
Burrington Estates,,36,0.917
CALA Homes,,1425,0.954
Cameron Homes,,104,0.951
Campion Homes,,15,1
Castle Green Homes,,104,0.932
Cavanna Homes,,81,0.815
Churchill Retirement Living,,307,0.971
Countryside Partnerships,,1518,0.906
Crest Nicholson,,1095,0.882
Croudace Homes,,143,0.936
Cruden Homes,,76,0.84
